FAIL credenciales/defaults hardcodeados:
('audit_kpis_junio_2026.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT", "1433")')
('core/refresh_tokens.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('ACCESS_TOKEN_MINUTES', '15')")
('core/refresh_tokens.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('REFRESH_TOKEN_DAYS', '7')")
('core/refresh_tokens.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("ENV", "production")')
('core/security.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('JWT_EXPIRATION_HOURS', '72')")
('core/security.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('ACCESS_TOKEN_MINUTES', '15')")
('core/security.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('AUTH_SQL_FIRST_ENABLED', 'false')")
('core/security.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("ENV", "production")')
('core/rbac_helper.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('DB_NAME', 'edarsa_hub')")
('core/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("DB_NAME", "test_database")')
('core/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("JWT_SECRET", "your-secret-key")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_TIMEZONE", "America/Mexico_City")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SLA_INTERVAL_SECONDS", "300")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SLA_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_NOTIFICATIONS_INTERVAL_SECONDS", "120")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_NOTIFICATIONS_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_AUDITORIAS_INTERVAL_SECONDS", "3600")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_AUDITORIAS_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_PEDIDOS_INTERVAL_SECONDS", "300")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_PEDIDOS_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_INVENTARIOS_INTERVAL_SECONDS", "600")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_INVENTARIOS_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_S_INTERVAL_SECONDS", "900")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_S_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_N_CRON", "0 3 * * *")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_N_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_INGRESOS_INTERVAL_SECONDS", "900")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_INGRESOS_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_PROPINAS_INTERVAL_SECONDS", "900")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_PROPINAS_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_COMERCIAL_V2_INTERVAL_SECONDS", "900")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_COMERCIAL_V2_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_COMERCIAL_ABIERTAS_V2_INTERVAL_SECONDS", "300")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_COMERCIAL_ABIERTAS_V2_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_CAVA_MONTHLY_CRON", "0 9 1 * *")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_CAVA_MONTHLY_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_CRM_SYNC_INTERVAL_SECONDS", "1800")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_CRM_SYNC_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_CRM_SLA_INTERVAL_SECONDS", "3600")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_CRM_SLA_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_CRM_ACTIVIDADES_INTERVAL_SECONDS", "900")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_CRM_ACTIVIDADES_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_VTIGER_SYNC_INTERVAL_SECONDS", "900")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_VTIGER_SYNC_ENABLED", "true")')
('core/scheduler/config.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_INTELIGENCIA_SYNC_ENABLED", "true")')
('core/scheduler/jobs/sync_comercial_v2_job.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SYNC_COMERCIAL_V2_DAYS", "3")')
('core/scheduler/jobs/sync_propinas_tpv_job.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SYNC_PROPINAS_DAYS", "2")')
('core/scheduler/jobs/sync_compras_job.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_COMPRAS_INTERVAL_SECONDS", "1800")')
('core/scheduler/jobs/sync_compras_job.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_COMPRAS_ENABLED", "true")')
('core/scheduler/jobs/inteligencia_comercial_sync_job.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("CIENFUEGOS_DB_USER", "sa")')
('core/scheduler/jobs/inteligencia_comercial_sync_job.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("130MID_DB_USER", "sa")')
('core/scheduler/jobs/inteligencia_comercial_sync_job.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("ESTELAR_DB_USER", "sa")')
('core/scheduler/jobs/detect_nuevos_compras_job.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("COMPRAS_POLLING_INTERVAL", "120")')
('core/scheduler/jobs/detect_nuevos_compras_job.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("COMPRAS_DETECT_ENABLED", "true")')
('core/scheduler/jobs/sync_ingresos_job.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SYNC_INGRESOS_DAYS", "2")')
('core/scheduler/jobs/sync_comercial_abiertas_v2_job.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_SYNC_COMERCIAL_ABIERTAS_V2_INTERVAL_SECONDS", "300")')
('core/communications/providers/twilio_provider.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get(config.get("token_ref", "TWILIO_AUTH_TOKEN")')
('core/communications/providers/email_smtp_provider.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("EMAIL_PORT", "587")')
('core/communications/providers/email_smtp_provider.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("EMAIL_USE_TLS", "true")')
('core/communications/providers/email_smtp_provider.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("EMAIL_FROM_NAME", "EDARSA HUB")')
('core/communications/scripts/__init__.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("DB_NAME", "edarsa_hub")')
('core/centro_control/email_notifications.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_PORT', '587')")
('core/centro_control/email_notifications.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_FROM_NAME', 'EDARSA HUB')")
('core/centro_control/email_notifications.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_USE_TLS', 'true')")
('core/centro_control/email_notifications.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_ENABLED', 'true')")
('core/centro_control/recipients_manager.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('DB_NAME', 'edarsa_hub')")
